ID,Description,Entry_ID,Comment,Derived_Meaning_Chintang,Derived_Meaning_English,Derived_Meaning_Nepali,Expanded_Definition_English,Expanded_Definition_Nepali,alt_translation1
SN009063,with.all.one's.might,simatutu,,,,,,,
SN009064,tingle; fall.asleep,simd,,,,,of body parts,,निदाउनु; झमझमाउनु
SN009065,cement,simenti,,,,,,,बज्रलेप्
SN009066,bean,simi,,,,,,,सिमी
SN009067,limited,simit,,,,,,,सीमित
SN009068,a.name,LX002665,,,,,,,सीमझोङ्मा
SN009069,a.place,simle,,,,,,,सिमले
SN009070,a.name,simlike,,,,,,,सिमलि
SN009071,a.place,simpani,,,,,,,सिम्पानी
SN009072,soak.up; absorb,sims,,,,,,,सोस्नु
SN009073,wetland,simsar,,,,,,,सिमसार
SN009074,a.kind.of.grass,simsare,,,,,,,एक प्रकारको झार
SN009075,drizzling,simsimsim,,,,,feeling as if a numb body part is can be felt again,,
SN009076,scene,sin,,,,,,,दृस्य
SN009077,a.place,LX002666,,,,,,,सिनामङ्गल
SN009078,CNAS,sinas,,,,,"the Center for Nepalese and Asian Studies, an instution at the Tribhuvan University, Kathmandu",,सिनास
SN009079,a.name,sindur,It refers to an ox with a vermilion color.,,,,name of an ox,,सिन्धुरे
